date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2014-05-28,1558,,51.1,157.15,208.25,24.54,2136.5
2014-05-29,1513,,50.91,157.15,208.06,24.47,2136.8
2014-05-30,1758,,50.7,157.16,207.86,24.39,2137.0
2014-05-31,1215,,50.56,157.17,207.72,24.34,2137.2
2014-06-01,1503,,50.26,157.17,207.44,24.23,2137.4
2014-06-02,1576,,50.05,157.18,207.23,24.15,2137.6
2014-06-03,2003,,49.86,157.19,207.05,24.08,2137.9
2014-06-04,1642,,49.79,157.2,206.98,24.05,2138.1
2014-06-05,1978,,49.61,157.2,206.82,23.99,2138.3
2014-06-06,2540,,49.54,157.21,206.75,23.96,2138.6
2014-06-07,2452,,49.62,157.22,206.84,23.99,2138.8
2014-06-08,1872,,49.68,157.23,206.9,24.01,2139.1
2014-06-09,1230,,49.57,157.24,206.8,23.97,2139.3
2014-06-10,1880,,49.28,157.24,206.52,23.86,2139.5
2014-06-11,1953,,49.17,157.25,206.42,23.82,2139.8
2014-06-12,2478,,49.08,157.26,206.34,23.79,2140.0
2014-06-13,1653,,49.15,157.27,206.42,23.81,2140.2
2014-06-14,1708,,48.98,157.28,206.25,23.75,2140.5
2014-06-15,2245,,48.82,157.29,206.11,23.69,2140.8
2014-06-16,2027,,48.82,157.29,206.11,23.68,2141.0
2014-06-17,2025,,48.75,157.3,206.05,23.66,2141.3
2014-06-18,1791,,48.69,157.31,206.0,23.63,2141.5
2014-06-19,1853,,48.55,157.32,205.87,23.58,2141.8
2014-06-20,2514,,48.44,157.33,205.77,23.54,2142.0
2014-06-21,1636,,48.51,157.34,205.85,23.57,2142.3
2014-06-22,1970,,48.33,157.35,205.68,23.5,2142.5
2014-06-23,1795,,48.25,157.35,205.61,23.47,2142.8
2014-06-24,2308,,48.12,157.36,205.48,23.42,2143.1
2014-06-25,2302,,48.13,157.37,205.51,23.42,2143.3
2014-06-26,2509,,48.14,157.38,205.53,23.42,2143.6
2014-06-27,2145,,48.22,157.39,205.61,23.45,2143.8
2014-06-28,2020,,48.18,157.4,205.58,23.44,2144.1
2014-06-29,2228,,48.11,157.41,205.52,23.41,2144.3
2014-06-30,2010,,48.1,157.42,205.52,23.41,2144.6
2014-07-01,3073,,48.03,157.43,205.46,23.38,2144.9
2014-07-02,1940,,48.26,157.43,205.7,23.46,2145.1
2014-07-03,1985,,48.17,157.44,205.61,23.43,2145.3
2014-07-04,4729,,48.09,157.45,205.54,23.4,2145.7
2014-07-05,2598,,48.79,157.46,206.25,23.66,2145.8
2014-07-06,1937,,48.89,157.47,206.36,23.69,2146.0
2014-07-07,2454,,48.8,157.47,206.27,23.66,2146.3
2014-07-08,2792,,48.85,157.48,206.33,23.68,2146.5
2014-07-09,1380,,49.0,157.49,206.49,23.73,2146.7
2014-07-10,2046,,48.75,157.5,206.24,23.64,2147.0
2014-07-11,2447,,48.68,157.5,206.19,23.61,2147.2
2014-07-12,2061,,48.73,157.51,206.24,23.63,2147.4
2014-07-13,2058,,48.68,157.52,206.19,23.61,2147.6
2014-07-14,2346,,48.61,157.52,206.14,23.58,2147.9
2014-07-15,3381,,48.64,157.53,206.17,23.59,2148.1
2014-07-16,2850,,48.95,157.54,206.49,23.71,2148.3
2014-07-17,2165,,49.12,157.55,206.67,23.77,2148.5
2014-07-18,2635,,49.09,157.55,206.64,23.76,2148.7
2014-07-19,2878,,49.19,157.56,206.75,23.79,2148.9
2014-07-20,3041,,49.37,157.56,206.93,23.86,2149.1
2014-07-21,2014,,49.59,157.57,207.16,23.94,2149.3
2014-07-22,2231,,49.51,157.58,207.09,23.91,2149.5
2014-07-23,1430,,49.5,157.58,207.08,23.9,2149.7
2014-07-24,2060,,49.26,157.59,206.85,23.81,2149.9
2014-07-25,1808,,49.2,157.59,206.79,23.79,2150.1
2014-07-26,1710,,49.07,157.6,206.67,23.74,2150.3
2014-07-27,1580,,48.9,157.61,206.51,23.68,2150.5
2014-07-28,2678,,48.71,157.61,206.32,23.61,2150.8
2014-07-29,2082,,48.82,157.62,206.44,23.65,2150.9
2014-07-30,2223,,48.77,157.62,206.39,23.63,2151.1
2014-07-31,1993,,48.75,157.63,206.38,23.62,2151.3
2014-08-01,2936,,48.67,157.64,206.31,23.59,2151.6
2014-08-02,3097,,48.86,157.64,206.5,23.66,2151.8
2014-08-03,1900,,49.09,157.65,206.74,23.75,2151.9
2014-08-04,1740,,48.98,157.66,206.64,23.7,2152.1
2014-08-05,2146,,48.83,157.66,206.49,23.65,2152.4
2014-08-06,1795,,48.79,157.67,206.46,23.63,2152.5
2014-08-07,1695,,48.65,157.67,206.33,23.58,2152.7
2014-08-08,2070,,48.49,157.68,206.17,23.52,2153.0
2014-08-09,1984,,48.43,157.69,206.11,23.5,2153.2
2014-08-10,2281,,48.34,157.69,206.03,23.46,2153.4
2014-08-11,1790,,48.34,157.7,206.04,23.46,2153.6
2014-08-12,1947,,48.2,157.71,205.91,23.41,2153.8
2014-08-13,1805,,48.11,157.71,205.82,23.37,2154.0
2014-08-14,1620,,47.97,157.72,205.69,23.32,2154.2
2014-08-15,2231,,47.78,157.73,205.51,23.25,2154.5
2014-08-16,2025,,47.76,157.73,205.5,23.24,2154.7
2014-08-17,1610,,47.69,157.74,205.43,23.22,2154.9
2014-08-18,1651,,47.5,157.75,205.25,23.14,2155.1
2014-08-19,2194,,47.32,157.75,205.07,23.07,2155.3
2014-08-20,1814,,47.29,157.76,205.05,23.06,2155.5
2014-08-21,2248,,47.16,157.77,204.93,23.01,2155.8
2014-08-22,1637,,47.15,157.78,204.92,23.01,2156.0
2014-08-23,2659,,46.96,157.78,204.74,22.94,2156.3
2014-08-24,2170,,47.07,157.79,204.86,22.98,2156.5
2014-08-25,1740,,47.03,157.8,204.83,22.96,2156.7
2014-08-26,2046,,46.88,157.81,204.68,22.9,2157.0
2014-08-27,1751,,46.81,157.82,204.62,22.87,2157.2
2014-08-28,1880,,46.65,157.82,204.48,22.82,2157.4
2014-08-29,1580,,46.54,157.83,204.37,22.77,2157.7
2014-08-30,2208,,46.33,157.84,204.17,22.69,2157.9
2014-08-31,1985,,46.31,157.85,204.16,22.68,2158.1
2014-09-01,3137,,46.22,157.86,204.08,22.65,2158.4
2014-09-02,2378,,46.46,157.86,204.33,22.74,2158.6
2014-09-03,2110,,46.49,157.87,204.36,22.75,2158.9
2014-09-04,2130,,46.44,157.88,204.32,22.73,2159.1
2014-09-05,4199,,46.39,157.89,204.28,22.71,2159.4
2014-09-06,4856,,46.93,157.89,204.83,22.91,2159.6
2014-09-07,2550,,47.67,157.9,205.57,23.19,2159.8
2014-09-08,1691,,47.74,157.91,205.65,23.21,2160.0
2014-09-09,2321,,47.57,157.91,205.48,23.15,2160.2
2014-09-10,2068,,47.57,157.92,205.49,23.15,2160.4
2014-09-11,2035,,47.51,157.93,205.43,23.13,2160.6
2014-09-12,2228,,47.43,157.93,205.37,23.1,2160.8
2014-09-13,3082,,47.42,157.94,205.35,23.09,2161.0
2014-09-14,1680,,47.64,157.94,205.58,23.17,2161.2
2014-09-15,1529,,47.46,157.95,205.41,23.11,2161.4
2014-09-16,3026,,47.24,157.95,205.2,23.02,2161.6
2014-09-17,2119,,47.45,157.96,205.41,23.1,2161.8
2014-09-18,2306,,47.4,157.97,205.37,23.08,2162.0
2014-09-19,3027,,47.4,157.97,205.37,23.08,2162.2
2014-09-20,2641,,47.61,157.98,205.59,23.16,2162.4
2014-09-21,2170,,47.71,157.98,205.69,23.19,2162.5
2014-09-22,1750,,47.67,157.99,205.66,23.18,2162.7
2014-09-23,2413,,47.51,157.99,205.51,23.12,2162.9
2014-09-24,2139,,47.54,158.0,205.54,23.13,2163.1
2014-09-25,2664,,47.5,158.0,205.5,23.11,2163.3
2014-09-26,3018,,47.6,158.01,205.61,23.15,2163.5
2014-09-27,2462,,47.81,158.01,205.82,23.23,2163.6
2014-09-28,2271,,47.85,158.02,205.87,23.24,2163.8
2014-09-29,2252,,47.84,158.02,205.87,23.24,2164.0
2014-09-30,2767,,47.83,158.03,205.86,23.23,2164.2
2014-10-01,1995,,47.96,158.03,205.99,23.28,2164.3
2014-10-02,1820,,47.87,158.04,205.91,23.25,2164.5
2014-10-03,1792,,47.73,158.04,205.78,23.2,2164.7
2014-10-04,2787,,47.59,158.05,205.63,23.14,2164.9
2014-10-05,2967,,47.73,158.05,205.78,23.19,2165.1
2014-10-06,1695,,47.91,158.06,205.97,23.26,2165.2
2014-10-07,2172,,47.74,158.06,205.8,23.2,2165.4
2014-10-08,1964,,47.7,158.06,205.77,23.18,2165.5
2014-10-09,2250,,47.6,158.07,205.67,23.15,2165.7
2014-10-10,2680,,47.59,158.07,205.66,23.14,2165.9
2014-10-11,2348,,47.69,158.08,205.77,23.18,2166.0
2014-10-12,2741,,47.7,158.08,205.79,23.18,2166.2
2014-10-13,3407,,47.83,158.09,205.91,23.23,2166.4
2014-10-14,2265,,48.14,158.09,206.23,23.34,2166.5
